slice_type,slice_value,rows,r2_elec,r2_heat,mae_elec_w,mae_heat_w,fold_id
capacity_kw,6.0,2272,-0.0515675858283724,-0.261026444875333,326.5672322488053,1310.7404772994726,1
capacity_kw,8.0,1868,0.14587081217455622,0.180087856741855,234.2056128757885,847.8657299171963,1
system_id,44,1868,0.14587081217455622,0.180087856741855,234.2056128757885,847.8657299171963,1
system_id,162,2272,-0.0515675858283724,-0.261026444875333,326.5672322488053,1310.7404772994726,1
capacity_kw,6.0,2307,0.4279798039386836,0.1630017738540518,218.4379639785849,767.3125619674487,2
capacity_kw,8.0,2116,0.46566402097538917,0.3230826842110647,240.28413342976123,771.0891048174976,2
system_id,44,2116,0.46566402097538917,0.3230826842110647,240.28413342976123,771.0891048174976,2
system_id,162,2307,0.4279798039386836,0.1630017738540518,218.4379639785849,767.3125619674487,2
capacity_kw,6.0,2209,-4.592434765423057,-4.70609451391293,522.8971393872056,2260.6723280985757,3
capacity_kw,8.0,936,-0.28827390889735716,-0.31455838996130114,366.41125687069984,1387.205019326376,3
system_id,44,936,-0.28827390889735716,-0.31455838996130114,366.41125687069984,1387.205019326376,3
system_id,162,2209,-4.592434765423057,-4.70609451391293,522.8971393872056,2260.6723280985757,3
capacity_kw,6.0,2220,-4.909472307752605,-4.865803427295632,501.3463870292246,2216.06109653681,4
capacity_kw,8.0,850,-0.16012949859533476,-0.10345024455720364,312.3380781736448,1166.628653166126,4
system_id,44,850,-0.16012949859533476,-0.10345024455720364,312.3380781736448,1166.628653166126,4
system_id,162,2220,-4.909472307752605,-4.865803427295632,501.3463870292246,2216.06109653681,4
capacity_kw,6.0,2254,0.3316807024492785,-0.019570279750334985,192.03371550431484,836.5961023964306,5
capacity_kw,8.0,2154,0.23977080303130427,-0.004294302669480166,295.012859423055,1063.223945071575,5
system_id,44,2154,0.23977080303130427,-0.004294302669480166,295.012859423055,1063.223945071575,5
system_id,162,2254,0.3316807024492785,-0.019570279750334985,192.03371550431484,836.5961023964306,5
